ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC
"20";"630252";"630252";"Octomeria ffrenchiana ";"P.Feldmann & Barré, 1996";"";"";"ES";"Orchidaceae";"Guadeloupe";"";"CR";"A2ac B2ab(i,ii,iii,iv,v) C1+2a(i) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716163";"716163";"Ophioglossum palmatum ";"L., 1753";"";"";"ES";"Ophioglossaceae";"";"";"CR";"B2ab(iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716167";"716167";"Ormoloma imrayanum ";"(Hook.) Maxon, 1933";"";"";"ES";"Lindsaeaceae";"";"";"CR";"B2ab(iii,v) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"630464";"630464";"Polygala planellasi ";"Molinet & M. Gomez ex M. Gomez, 1890";"Ti-branda";"";"ES";"Polygalaceae";"Guadeloupe";"";"CR";"B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"630498";"630498";"Pseudocentrum guadalupense";"Cogn., 1909";"";"";"ES";"Orchidaceae";"Guadeloupe";"";"CR";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716562";"716562";"Pteris plumula";"Desv., 1827";"";"";"ES";"Pteridaceae";"";"";"CR";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"630518";"630518";"Pterocaulon alopecuroides ";"(Lam.) DC., 1836";"Langue à vache femelle";"";"ES";"Asteraceae";"";"";"CR";"B2ab(iii,iv)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"199316";"199316";"Pterodroma hasitata";"(Kuhl, 1820)";"Pétrel diablotin";"";"ES";"Procellariidae";"";"";"CR";"D";"";"2012";"EN";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"20";"446904";"446904";"Rollinia mucosa ";"(Jacq.) Baill., 1868";"Cachiman morveux";"";"ES";"Annonaceae";"";"";"CR";"B2ab(iii) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716169";"716169";"Serpocaulon antillense ";"(Maxon) A.R.Sm., 2006";"";"";"ES";"Polypodiaceae";"";"";"CR";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"3364";"3364";"Sterna dougallii";"Montagu, 1813";"Sterne de Dougall";"";"ES";"Laridae";"";"";"CR";"B2ab(ii)";"";"2012";"LC";"LC";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"20";"3343";"3343";"Sterna hirundo";"Linnaeus, 1758";"Sterne pierregarin";"";"ES";"Laridae";"";"";"CR";"D";"";"2012";"LC";"LC";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"20";"716560";"716560";"Thelypteris reptans var. tenera ";"(Fée) Proctor, 1959";"";"";"VAR";"Thelypteridaceae";"";"";"CR";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716557";"716557";"Thelypteris serrata ";"(Cav.) Alston, 1932";"";"";"ES";"Thelypteridaceae";"";"";"CR";"B2ab(iii,v) C2a(i) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
